Marca temporal,Titulación en curso,Titulación anterior (si la hubiera),Género,Edad,"Sobre el uso de los sistemas de mensajería en clase, prefiero","¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes) te podrían resultar útiles para mejorar tus resultados de aprendizaje o ayudarte, en general, a gestionar una asignatura?",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros de clase/profesores?
10/12/2020 9:21:18,,,,,Un grupo para el curso completo,Bots que guardaran y recuperaran preguntas frecuentes,
10/12/2020 9:31:10,,,,,Un grupo sin los profesores,Bots que te comuniquen las notas,
10/12/2020 9:31:29,,,,,Un grupo con más allegados,Bots que te ayuden con el material de clase,
10/12/2020 9:57:06,,,,,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guardaran y recuperaran preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",
10/12/2020 10:04:25,,,,,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con los compañeros/as ad hoc para hacer un proyecto o algo más específico, Un grupo para toda la ETSIIT, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guardaran y recuperaran preguntas frecuentes, Bots que te ayudaran a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase",
10/12/2020 10:37:59,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo con más allegados","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 10:39:22,GII / GITT,,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 10:42:22,GII / GITT,,Hombre,20 a 25 años,"Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase","Whatsapp, Telegram"
10/12/2020 10:58:28,Máster Teleco,Grado en Ingeniería en Tecnologías de Telecomunicación,Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
10/12/2020 11:30:54,Máster Teleco,Grado en Ingeniería de Tecnologías de Telecomunicación,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas","Whatsapp, Telegram, LinkedIn, Discord, Slack, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 12:03:50,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Discord"
10/12/2020 13:28:01,Máster Teleco,GITT,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 13:55:14,GII / GITT,Grado informática,Hombre,20 a 25 años,Un grupo con más allegados,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase","Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 15:21:39,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 16:01:01,DATCOM,Ingeniería Informática - ingeniería de Computadores,Hombre,20 a 25 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo para toda la titulación, facultad o Escuela, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 16:05:15,GII / GITT,,Hombre,20 a 25 años,Un grupo para el curso completo,Bots que te comuniquen las notas,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica"
10/12/2020 17:35:54,DATCOM,Ingeniería de Computadores (US),Hombre,20 a 25 años,"Un grupo sin los profesores, Un grupo con más allegados, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para toda la titulación, facultad o Escuela","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden a conocer a más gente en la clase, Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
10/12/2020 17:59:25,GII / GITT,,Hombre,20 a 25 años,Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico,"Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas, Bots que te ayuden con el material de clase","Whatsapp, Telegram, Discord"
11/12/2020 0:51:25,GII / GITT,,Hombre,Menor de 20 años,"Un grupo con todos los compañeros/as y profesores/as, Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord"
11/12/2020 9:25:53,GII / GITT,,Hombre,Menor de 20 años,"Un grupo sin los profesores, Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico, Un grupo para el curso completo","Bots-agenda (que te avisen pe. del tiempo que queda para una entrega), Bots que te comuniquen las notas","Whatsapp, Telegram, Discord, PRADO/SWAD/otra plataforma de aprendizaje específica"
11/12/2020 9:40:39,GII / GITT,,Mujer,20 a 25 años,Un grupo hecho a propósito con los compañeros/as para hacer un proyecto o algo más específico,Bots-agenda (que te avisen pe. del tiempo que queda para una entrega),Whatsapp
11/12/2020 9:42:05,GII / GITT,,Hombre,Menor de 20 años,Un grupo con más allegados,Bots que guarden y recuperen preguntas frecuentes,Whatsapp
