Marca temporal,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
9/02/2021 10:12:33,Grado,Ciencias,Mujer,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 12:03:26,"Grado, Máster",Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 14:59:25,Grado,Ingeniería,Hombre,45-55,más de 25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes), Un grupo para el curso completo (profesores y estudiantes)","Twitter mensajes, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento, Teams","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 15:06:12,"Grado, Máster",Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Aula Virtual, incluye foro (con moodle)",ninguno,"No, antes la usaba y ahora la sigo usando."
9/02/2021 15:09:03,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots que guarden y recuperen preguntas frecuentes,"No, no la usaba antes ni ahora."
9/02/2021 15:13:43,Grado,Ingeniería,Hombre,45-55,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)","PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento, TEAMS",No uso bots,"Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 15:13:57,"Grado, Máster, Doctorado, Títulos propios",Ingeniería,Mujer,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,Ninguno,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 15:15:33,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 15:43:18,Grado,Ingeniería,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Enseño a programar bots de telegram, pero para clase uso e-mail","No, no la usaba antes ni ahora."
9/02/2021 16:06:33,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 16:28:27,"Grado, Doctorado",Ingeniería,Hombre,45-55,15-25 años,Un grupo para el curso completo (profesores y estudiantes),"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 16:32:35,"Grado, Máster, Títulos propios",Ingeniería,Mujer,25-35,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, no la usaba antes ni ahora."
9/02/2021 17:38:40,Grado,Ingeniería,Hombre,35-45,5-15 años,"Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
9/02/2021 18:19:45,Grado,Ingeniería,Hombre,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 18:53:17,Grado,Ingeniería,Hombre,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,correo-e y TEAMS,"No veo utilidad para ""mejorar resultados de aprendizaje""","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:14:35,Grado,Ciencias,Hombre,25-35,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:19:42,Máster,Ingeniería,Mujer,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)",Discord,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 20:01:36,Máster,Ingeniería,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Discord, Classroom.google.com","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:16:10,Grado,Ingeniería,Hombre,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:16:43,Doctorado,Ingeniería,Mujer,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:27:14,Grado,Ingeniería,Mujer,35-45,5-15 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:27:23,Grado,Ingeniería,Hombre,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Teams,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)",Antes solía emplear el foro de Moodle y ahora también uso Teams 
9/02/2021 20:50:35,Grado,Ciencias Sociales,Mujer,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 20:51:13,"Grado, Máster, Títulos propios",Ingeniería,Mujer,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación, Facultad o Escuela (profesores y estudiantes)","Telegram, Foro de Aula Virtual",Bots que comuniquen las notas,"No, antes la usaba y ahora la sigo usando."
9/02/2021 20:51:30,Máster,Ciencias,Mujer,35-45,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 21:04:34,Grado,Ingeniería,Mujer,25-35,5-15 años,Un grupo con los estudiantes de mi asignatura,Messenger y Classroom.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando), Lo idea sería que las respuestas no den prediseñadas para poder contestar específicamente cualquier duda de cualquier índole.","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:15:44,Grado,Ingeniería,Mujer,25-35,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 22:00:50,"Grado, Máster",Ingeniería,Hombre,35-45,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, correo electrónico","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 22:15:38,Grado,Ingeniería,Hombre,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,Whatsapp,Bots que comuniquen las notas,"Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 6:10:32,"Grado, Máster, Doctorado",Ciencias Sociales,Mujer,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 9:06:54,"Grado, Máster, Doctorado, Títulos propios",Ciencias Sociales,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
10/02/2021 9:14:01,"Grado, Máster, Títulos propios",Ciencias Sociales,Hombre,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:09:13,Grado,Ciencias,Mujer,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots que guarden y recuperen preguntas frecuentes,"No, antes la usaba y ahora la sigo usando."
10/02/2021 11:14:52,"Grado, Máster",Ingeniería,Hombre,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
10/02/2021 11:15:11,Grado,Ingeniería,Hombre,25-35,0-5 años,"Un grupo con los estudiantes de mi asignatura, Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería","Whatsapp, Telegram, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Ninguno, son los estudiantes los que tienen que trabajar","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:20:58,Grado,Ingeniería,Hombre,25-35,0-5 años,Un grupo con los estudiantes de mi asignatura,"Telegram, LinkedIn, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","Sí, he cambiado de plataforma de mensajería a otras más seguras."
10/02/2021 11:21:07,"Grado, Máster",Ingeniería,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",prefiero responder yo en vez de usar programas que respondan automáticamente,"No, antes la usaba y ahora la sigo usando."
10/02/2021 11:22:26,Grado,Ingeniería,Hombre,45-55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots que guarden y recuperen preguntas frecuentes,"Sí, he cambiado de plataforma de mensajería a otras más seguras."
10/02/2021 11:25:19,"Grado, Máster, Doctorado",Ingeniería,Hombre,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, no la usaba antes ni ahora."
10/02/2021 11:27:17,"Grado, Máster",Ingeniería,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, no la usaba antes ni ahora."
10/02/2021 11:36:06,"Grado, Máster, Doctorado, Títulos propios",Ingeniería,Hombre,35-45,5-15 años,Un grupo para el curso completo (profesores y estudiantes),"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:43:14,Grado,Ingeniería,Hombre,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Slack","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:44:40,"Grado, Máster",Ingeniería,Hombre,35-45,5-15 años,Un grupo con los estudiantes de mi asignatura,"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
10/02/2021 11:44:41,"Grado, Máster",Ingeniería,Hombre,Más de 55,más de 25 años,Un grupo para el curso completo (profesores y estudiantes),"PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",ninguno,"No, antes la usaba y ahora la sigo usando."
10/02/2021 11:48:14,"Grado, Máster",Ingeniería,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, PRADO/SWAD/otra plataforma de aprendizaje específica de la universidad, titulación o departamento",Bots que guarden y recuperen preguntas frecuentes,"No, no la usaba antes ni ahora."
