Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
8/02/2021 22:05:10,Sí,Grado superior,Tecnología,Mujer,45-55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 22:05:14,Sí,Grado medio,,Mujer,Más de 55,15-25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Discord",Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 22:22:57,Sí,Grado medio,Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 22:22:57,Sí,"Grado medio, Grado superior",Ciencias,Hombre,35-45,0-5 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)","Telegram, Plataforma de aprendizaje específica de la consejería o centro.","Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, he cambiado de plataforma de mensajería a otras más seguras."
8/02/2021 22:29:41,Sí,"Grado medio, Grado superior",Ciencias,Hombre,35-45,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Whatsapp,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
8/02/2021 22:51:40,Sí,Grado superior,Tecnología,Mujer,35-45,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para toda la titulación o instituto (profesores y estudiantes)",Gmail. Moodle,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 22:52:45,No,,,,,,,,,
8/02/2021 23:16:23,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,más de 25 años,Un grupo para el curso completo (profesores y estudiantes),"Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
8/02/2021 23:24:26,Sí,"Grado medio, Grado superior",Tecnología,Mujer,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,Bots que guarden y recuperen preguntas frecuentes,"No, antes la usaba y ahora la sigo usando."
8/02/2021 23:37:20,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","No, antes la usaba y ahora la sigo usando."
9/02/2021 0:15:14,Sí,Grado medio,Tecnología,Hombre,45-55,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","Sí, antes no usaba ningún tipo de plataforma de mensajería y ahora sí la uso."
9/02/2021 6:36:45,Sí,Grado superior,Tecnología,Mujer,45-55,0-5 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Slack, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes","Sí, he cambiado de plataforma de mensajería a otras más seguras."
