Marca temporal,¿Imparte docencia en ciclos formativos de grado medio o superior?,Titulaciones que imparte,Área,Género,Edad (años),Experiencia docente,"Sobre el uso de los sistemas de mensajería en clase, prefiero",¿Qué plataforma de mensajería GRUPAL usas normalmente para comunicarte con tus compañeros y estudiantes?,"¿Qué tipo de bots (programas que respondan automáticamente a preguntas u órdenes)  podrían resultar útiles para mejorar los resultados de aprendizaje de los estudiantes o ayudarte, en general, a gestionar una asignatura?","La virtualización de la enseñanza debida al COVID este año o el anterior, ¿ha significado algún cambio en tu percepción o uso de mensajería en clase?"
9/02/2021 19:23:10,Sí,"Grado medio, Grado superior",Tecnología,Hombre,35-45,0-5 años,Un grupo con los estudiantes de mi asignatura,Classroom,"Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:35:45,Sí,Grado superior,Ciencias,Mujer,25-35,0-5 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,Plataforma de aprendizaje específica de la consejería o centro.,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:46:26,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,"Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 19:52:39,Sí,Grado superior,Tecnología,Mujer,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.",Bots que guarden y recuperen preguntas frecuentes,"Sí, he cambiado de plataforma de mensajería a otras más seguras."
9/02/2021 20:24:11,Sí,"Grado medio, Bachillerato",Tecnología,Mujer,35-45,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack, Plataforma de aprendizaje específica de la consejería o centro.","Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:31:14,Sí,"Grado medio, Grado superior",Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Slack, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:35:30,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,"Un grupo con los estudiantes de mi asignatura, Un grupo para el curso completo (profesores y estudiantes)",Slack,"Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:39:25,Sí,Grado medio,Tecnología,Mujer,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,Plataforma de aprendizaje específica de la consejería o centro.,Bots-agenda (que avisen p.e. del tiempo que queda para una entrega),"No, antes la usaba y ahora la sigo usando."
9/02/2021 20:56:40,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Classroom ","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 20:58:42,Sí,Grado medio,Tecnología,Mujer,35-45,5-15 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Telegram, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que comuniquen las notas, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:07:52,Sí,"Grado medio, Grado superior",Tecnología,Mujer,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Plataforma de aprendizaje específica de la consejería o centro.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que comuniquen las notas","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:13:50,Sí,Grado medio,Tecnología,Hombre,45-55,5-15 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack, Ninguna, prefiero no usar ningún tipo de mensajería con los estudiantes.","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que guarden y recuperen preguntas frecuentes, Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
9/02/2021 21:49:43,Sí,Grado superior,Tecnología,Hombre,45-55,más de 25 años,Prefiero que los estudiantes se autoorganicen y no estar en ningún grupo de mensajería,"Whatsapp, Telegram, LinkedIn, Discord, Plataforma de aprendizaje específica de la consejería o centro.",Ninguno que conozca,"No, antes la usaba y ahora la sigo usando."
10/02/2021 6:57:31,Sí,Grado superior,Tecnología,Hombre,45-55,15-25 años,Un grupo con los estudiantes de mi asignatura,"Telegram, Slack","Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)","No, antes la usaba y ahora la sigo usando."
13/02/2021 8:08:12,Sí,Grado medio,Tecnología,Mujer,Más de 55,más de 25 años,Un grupo con los estudiantes de mi asignatura,"Whatsapp, Telegram","Bots-agenda (que avisen p.e. del tiempo que queda para una entrega), Bots que te ayuden con el material de clase (por ejemplo, haciendo búsquedas o preguntando)",Antes usaba Moodle
