"Marca temporal","¿Imparte docencia en enseñanza post-secundaria (Universidad, ciclos formativos, bachillerato, otra enseñanza pública o privada)?","Titulaciones que imparte","Área","Prefiere la interacción con el estudiante","La interacción con el estudiante prefiere que se lleve a cabo","¿Qué características valora en los medios informáticos de interacción con el estudiante?","Género","Edad (años)","Experiencia docente"
"2021/02/15 12:23:34 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/02/15 12:28:23 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","5-15 años"
"2021/02/15 2:19:02 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","0-5 años"
"2021/02/15 6:42:28 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/02/15 8:48:45 p. m. EET","Sí","Enseñanza de Grado","Ciencias","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Mujer","25-35","0-5 años"
"2021/02/15 9:00:49 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.","Prefiero no decirlo","25-35","0-5 años"
"2021/02/15 9:01:37 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","0-5 años"
"2021/02/15 9:23:42 p. m. EET","Sí","Ciclos formativos de grado medio/superior;Títulos propios","Ciencias Sociales","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Mujer","35-45","0-5 años"
"2021/02/15 9:36:18 p. m. EET","Sí","Aula de Mayores/Extensión Universitaria;Enseñanza de Grado;Máster u otro posgrado oficial","Humanidades","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","más de 25 años"
"2021/02/15 9:42:32 p. m. EET","Sí","Títulos propios;Aula de Mayores/Extensión Universitaria;Enseñanza de Grado;Máster u otro posgrado oficial","Biosanitaria","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","5-15 años"
"2021/02/15 10:21:43 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono)","Hombre","45-55","15-25 años"
"2021/02/16 1:48:56 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/02/16 8:53:06 a. m. EET","No","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","0-5 años"
"2021/02/16 9:00:09 a. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","15-25 años"
"2021/02/16 9:45:17 a. m. EET","Sí","Enseñanza de Grado","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","0-5 años"
"2021/02/16 10:17:56 a. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","15-25 años"
"2021/02/16 10:22:54 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","0-5 años"
"2021/02/16 10:24:18 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","Más de 55","más de 25 años"
"2021/02/16 10:26:49 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","35-45","5-15 años"
"2021/02/16 6:17:44 p. m. EET","Sí","Ciclos formativos de grado medio/superior","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/02/17 1:41:18 p. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Prefiero no decirlo","35-45","0-5 años"
"2021/02/18 10:20:38 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan funcionalidades adicionales, como conexión a otras herramientas","Prefiero no decirlo","25-35","0-5 años"
"2021/02/18 10:24:36 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","0-5 años"
"2021/02/18 10:32:00 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial;cursos de comisiones obreras","Ciencias","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono)","Mujer","25-35","0-5 años"
"2021/02/18 10:45:41 a. m. EET","Sí","Enseñanza de Grado","Ciencias Sociales","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","25-35","0-5 años"
