"Marca temporal","¿Imparte docencia en enseñanza post-secundaria (Universidad, ciclos formativos, bachillerato, otra enseñanza pública o privada)?","Titulaciones que imparte","Área","Prefiere la interacción con el estudiante","La interacción con el estudiante prefiere que se lleve a cabo","¿Qué características valora en los medios informáticos de interacción con el estudiante?","Género","Edad (años)","Experiencia docente"
"2021/02/18 10:48:12 a. m. EET","Sí","Enseñanza de Grado","Humanidades","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","25-35","0-5 años"
"2021/02/18 11:06:19 a. m. EET","Sí","Ciclos formativos de grado medio/superior","Ciencias Sociales","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/26 9:01:29 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","15-25 años"
"2021/04/26 9:06:49 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Prefiero no decirlo","35-45","0-5 años"
"2021/04/26 9:10:26 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","Más de 55","más de 25 años"
"2021/04/26 9:12:18 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/26 9:15:41 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/26 9:21:04 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","25-35","5-15 años"
"2021/04/26 9:23:06 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas","Hombre","45-55","15-25 años"
"2021/04/26 9:26:00 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/26 9:27:57 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/26 9:28:32 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/26 9:29:35 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.","Hombre","45-55","15-25 años"
"2021/04/26 9:34:36 a. m. EET","Sí","Títulos propios;Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Prefiero no decirlo","35-45","15-25 años"
"2021/04/26 10:09:05 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/04/26 10:23:11 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/26 10:30:13 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Prefiero no decirlo","45-55","15-25 años"
"2021/04/26 11:22:11 a. m. EET","Sí","Ciclos formativos de grado medio/superior;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","15-25 años"
"2021/04/26 11:32:44 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Prefiero no decirlo","Más de 55","más de 25 años"
"2021/04/26 12:13:39 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","15-25 años"
"2021/04/26 12:41:55 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","","Hombre","25-35","0-5 años"
"2021/04/26 5:48:21 p. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","15-25 años"
"2021/04/26 8:55:09 p. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","25-35","0-5 años"
"2021/04/27 11:11:38 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que me permita ocultar mis datos personales (tales como el teléfono)","Prefiero no decirlo","45-55","15-25 años"
"2021/04/27 11:11:55 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La formación que se haya dado sobre el mismo de forma oficial.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono)","Mujer","25-35","0-5 años"
"2021/04/27 11:12:32 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:12:39 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","5-15 años"
"2021/04/27 11:13:16 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","15-25 años"
"2021/04/27 11:13:26 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","35-45","0-5 años"
"2021/04/27 11:14:40 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:15:06 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 11:15:14 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Mujer","Más de 55","más de 25 años"
"2021/04/27 11:15:15 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
"2021/04/27 11:16:13 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Prefiero no decirlo","45-55","más de 25 años"
"2021/04/27 11:17:03 a. m. EET","Sí","Enseñanza de Grado","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","Más de 55","más de 25 años"
"2021/04/27 11:17:21 a. m. EET","Sí","Ciclos formativos de grado medio/superior;Máster u otro posgrado oficial","","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Admite el uso de medios ""extraoficiales"": blogs, grupos en programas de mensajería, otros medios","Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:19:36 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","5-15 años"
"2021/04/27 11:20:01 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","35-45","5-15 años"
"2021/04/27 11:22:10 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Prefiero no decirlo","35-45","15-25 años"
"2021/04/27 11:23:32 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/27 11:23:56 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","35-45","15-25 años"
"2021/04/27 11:25:02 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","35-45","15-25 años"
"2021/04/27 11:25:48 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.;Que me permitan extraer datos para evaluar el desempeño del estudiante","Hombre","45-55","15-25 años"
"2021/04/27 11:27:24 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Ciencias","Asíncrona: el estudiante puede preguntar en cualquier momento, el profesorado contesta cuando puede.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permitan extraer datos para evaluar el desempeño del estudiante","Mujer","45-55","15-25 años"
"2021/04/27 11:28:33 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","Más de 55","más de 25 años"
"2021/04/27 11:28:46 a. m. EET","Sí","Enseñanza de Grado;Máster u otro posgrado oficial","Tecnología/Ingeniería","Síncrona: estudiantes(s) y profesor(es) en el mismo espacio, simultáneamente.","Por medios ""oficiales"": visitas al despacho, foros/mensajes en el campus virtual, correo electrónico ""corporativo""","La familiaridad con su uso, es decir, que no tenga que aprender nuevos medios.;La formación que se haya dado sobre el mismo de forma oficial.;Que permitan la transmisión unidireccional, de profesorado a estudiantes;Que no sean jerárquicos y que permitan la interacción entre profesorado/estudiantes y entre ellos también.;Que permitan funcionalidades adicionales, como conexión a otras herramientas;Que tengan un sistema que permita al profesorado añadir sus propias herramientas (por ejemplo, herramientas de corrección automática);Que me permita ocultar mis datos personales (tales como el teléfono);Que no me tenga que preocupar del mantenimiento y que sea fácilmente sostenible de un año al siguiente.","Hombre","45-55","más de 25 años"
