AgendaBot,ClassMaterialBot,Age,Experience,FAQBot,GradesBot,Gender,"PostCOVID changes","Marca temporal",MessagingPlatformNone,MessagingPlatformOther,MessagingPlatformProvided,MessagingPlatformSlack,MessagingPlatformTelegram,MessagingPlatformWhatsApp,OtherBot,Sector,"Messaging Organization",Degrees,Discipline
No,Yes,25-35,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","12/02/2021 0:04:28",No,Yes,No,No,Yes,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,Sciences
Yes,No,25-35,"0-05 years",No,Yes,Male,"No, I did use it before, and use it now","12/02/2021 0:28:13",No,Yes,No,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,Engineering
Yes,Yes,45-55,"16-25 years",Yes,No,Female,"No, I didn't use it before, and don't use it now","12/02/2021 1:43:50",Yes,No,No,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
No,No,45-55,"16-25 years",No,Yes,Male,"Yes, I use a safer messaging app now","12/02/2021 1:57:23",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat, A chat with all the students and teachers in my Faculty/School",Undergrad,"Social Sciences"
No,Yes,45-55,"06-15 years",No,No,Female,"No, I did use it before, and use it now","12/02/2021 2:31:53",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Master,"Social Sciences"
Yes,Yes,"> 55","> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","12/02/2021 9:15:34",No,Yes,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,Yes,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","12/02/2021 9:58:08",No,No,Yes,Yes,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Engineering
Yes,No,25-35,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","12/02/2021 10:42:47",No,No,Yes,No,Yes,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Sciences
Yes,No,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","12/02/2021 14:49:40",Yes,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Sciences
No,Yes,25-35,"0-05 years",No,No,Male,"No, I did use it before, and use it now","12/02/2021 16:19:59",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
Yes,Yes,25-35,"06-15 years",Yes,No,Female,"Yes, I use a safer messaging app now","12/02/2021 16:47:36",No,Yes,No,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
Yes,Yes,"> 55","16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","12/02/2021 16:59:17",No,Yes,Yes,No,No,No,No,University,"A chat with my students in the same course",Master,Sciences
No,Yes,45-55,"16-25 years",No,No,Female,"Yes, I use a safer messaging app now","12/02/2021 23:41:42",No,No,No,No,Yes,Yes,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,"Social Sciences"
No,Yes,45-55,"16-25 years",No,No,Male,"Yes, I didn't use any messaging app before, but do use it now","13/02/2021 19:34:16",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","15/02/2021 1:40:15",No,Yes,Yes,No,No,Yes,No,University,"A chat with all students and teachers in the same semester/year",Master,"Social Sciences"
No,No,45-55,"16-25 years",No,Yes,Male,"Yes, I use a safer messaging app now","15/02/2021 10:24:25",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD","Social Sciences"
Yes,Yes,25-35,"0-05 years",Yes,Yes,Female,"Yes, I use a safer messaging app now","15/02/2021 10:26:06",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
Yes,Yes,25-35,"0-05 years",Yes,No,Female,"Yes, I use a safer messaging app now","15/02/2021 10:28:32",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,Humanities
Yes,Yes,25-35,"0-05 years",Yes,Yes,Female,"Yes, I didn't use any messaging app before, but do use it now","15/02/2021 10:32:54",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,No,25-35,"0-05 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","15/02/2021 10:59:41",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,No,25-35,"06-15 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","15/02/2021 11:50:01",No,Yes,No,No,Yes,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Non-official degree",Engineering
Yes,No,"> 55","> 25 years",No,No,Female,"Yes, I use a safer messaging app now","15/02/2021 12:25:12",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,No,25-35,"0-05 years",Yes,No,Female,"Yes, I use a safer messaging app now","15/02/2021 13:16:37",No,No,Yes,Yes,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD",Biomedicine
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","15/02/2021 16:19:38",No,No,No,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master","Social Sciences"
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","15/02/2021 19:33:48",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Biomedicine
Yes,No,25-35,"0-05 years",No,Yes,Female,"No, I did use it before, and use it now","15/02/2021 19:46:46",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat",Undergrad,Sciences
Yes,Yes,25-35,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","15/02/2021 19:59:28",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
No,Yes,25-35,"0-05 years",Yes,No,"PNTS","Yes, I didn't use any messaging app before, but do use it now","15/02/2021 19:59:29",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,Yes,35-45,"0-05 years",Yes,Yes,Female,"No, I did use it before, and use it now","15/02/2021 20:21:55",No,No,Yes,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Non-official degree","Social Sciences"
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"Antes la usaba, pero ahora muchísimo más","15/02/2021 20:34:09",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD, Aula de Mayores/Extensión Universitaria",Humanities
No,No,45-55,"06-15 years",No,No,Female,"Yes, I use a safer messaging app now","15/02/2021 20:41:13",No,No,Yes,No,Yes,Yes,Yes,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, Non-official degree, Aula de Mayores/Extensión Universitaria",Biomedicine
Yes,Yes,45-55,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","15/02/2021 21:20:03",No,No,Yes,No,Yes,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Engineering
No,Yes,25-35,"0-05 years",Yes,No,Male,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 0:01:24",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
Yes,No,35-45,"06-15 years",No,No,Male,"Yes, I use a safer messaging app now","16/02/2021 0:47:16",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master","Social Sciences"
No,No,45-55,"16-25 years",No,Yes,Female,"No, I didn't use it before, and don't use it now","16/02/2021 7:57:47",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,No,35-45,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","16/02/2021 8:35:32",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
No,No,"> 55","16-25 years",Yes,No,Male,"No, I did use it before, and use it now","16/02/2021 9:16:25",No,No,Yes,No,No,Yes,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD, Non-official degree",Engineering
Yes,Yes,35-45,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","16/02/2021 9:21:31",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master","Social Sciences"
Yes,Yes,"> 55","> 25 years",No,Yes,Male,"No, I did use it before, and use it now","16/02/2021 9:21:58",No,Yes,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master",Engineering
Yes,No,25-35,"0-05 years",No,Yes,Female,"No, I did use it before, and use it now","16/02/2021 9:25:48",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master","Social Sciences"
No,No,45-55,"> 25 years",No,No,Female,"SIGO USANDO PRADO IGUAL QUE ANTES","16/02/2021 9:27:54",No,No,Yes,No,No,No,Yes,University,"A chat with my students in the same course","Undergrad, Master, PhD",Engineering
Yes,No,45-55,"16-25 years",Yes,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 9:28:07",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year",Undergrad,Engineering
Yes,Yes,25-35,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","16/02/2021 9:32:27",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,No,25-35,"0-05 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 10:05:33",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course",Undergrad,Biomedicine
No,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","16/02/2021 10:08:18",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Biomedicine
Yes,No,45-55,"16-25 years",No,Yes,Female,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 10:08:56",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Sciences
Yes,No,35-45,"0-05 years",Yes,No,Female,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 10:13:53",No,Yes,No,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Biomedicine
Yes,No,45-55,"0-05 years",Yes,No,Male,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 10:15:00",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,No,35-45,"06-15 years",No,No,Female,"No, I didn't use it before, and don't use it now","16/02/2021 10:25:35",Yes,No,No,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Biomedicine
No,No,"> 55","> 25 years",No,No,Male,"No, I did use it before, and use it now","16/02/2021 10:43:03",No,Yes,No,No,No,No,Yes,University,"A chat with all students and teachers in the same semester/year",Undergrad,Sciences
Yes,No,25-35,"0-05 years",Yes,Yes,Female,"No, I did use it before, and use it now","16/02/2021 10:58:30",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
No,Yes,45-55,"16-25 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","16/02/2021 12:19:05",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Biomedicine
No,Yes,45-55,"06-15 years",Yes,No,Male,"Yes, I use a safer messaging app now","16/02/2021 12:40:12",No,No,No,No,No,Yes,Yes,University,"A chat with my students in the same course","Undergrad, Master, PhD",Biomedicine
No,No,45-55,"> 25 years",No,No,Male,"Un aumento en la frecuencia de uso de la mensajería.","17/02/2021 8:12:35",No,Yes,Yes,No,No,Yes,Yes,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Biomedicine
No,No,35-45,"0-05 years",Yes,No,Female,"Yes, I didn't use any messaging app before, but do use it now","17/02/2021 9:02:32",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Biomedicine
No,Yes,45-55,"16-25 years",Yes,No,Female,"No, I did use it before, and use it now","17/02/2021 9:26:31",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD, Non-official degree",Biomedicine
Yes,No,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","17/02/2021 9:44:30",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Sciences
Yes,No,35-45,"0-05 years",No,Yes,"PNTS","No, I did use it before, and use it now","17/02/2021 12:42:25",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
Yes,No,25-35,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","17/02/2021 12:43:45",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
No,Yes,"> 55","> 25 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","17/02/2021 13:28:30",No,No,Yes,No,No,Yes,No,University,"A chat with my students in the same course","Undergrad, Master, PhD",Biomedicine
No,No,35-45,"06-15 years",No,No,Female,"No, I didn't use it before, and don't use it now","17/02/2021 14:47:39",Yes,No,No,No,No,No,Yes,University,"A chat with my students in the same course","Undergrad, Master, PhD",Biomedicine
No,Yes,35-45,"06-15 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","17/02/2021 16:26:42",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
Yes,Yes,35-45,"16-25 years",Yes,No,Male,"Yes, I use a safer messaging app now","17/02/2021 18:13:20",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master","Social Sciences"
No,No,"> 55","> 25 years",Yes,No,Female,"No, I did use it before, and use it now","18/02/2021 11:23:16",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Biomedicine
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","20/02/2021 20:18:23",No,Yes,No,No,Yes,Yes,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,Yes,35-45,"0-05 years",No,No,Male,"No, I didn't use it before, and don't use it now","20/02/2021 22:15:11",Yes,No,No,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
No,Yes,25-35,"0-05 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","21/02/2021 11:40:07",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","23/02/2021 20:40:20",No,No,No,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
Yes,Yes,45-55,"> 25 years",Yes,Yes,Male,"No, I did use it before, and use it now","24/02/2021 9:38:38",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad, Master",Engineering
Yes,No,"> 55","> 25 years",No,Yes,Male,"No, I did use it before, and use it now","24/02/2021 10:11:08",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,Yes,35-45,"16-25 years",Yes,No,Male,"La usaba y uso de vez en cuando para consultas/tutorías.","1/03/2021 22:46:29",No,No,Yes,No,Yes,No,Yes,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, Non-official degree",Engineering
No,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","2/03/2021 9:37:44",No,Yes,No,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD",Engineering
No,No,35-45,"16-25 years",No,No,Male,"No, I did use it before, and use it now","8/02/2021 19:58:45",No,No,Yes,No,No,No,Yes,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
Yes,No,45-55,"16-25 years",Yes,No,Female,"Yes, I use a safer messaging app now","8/02/2021 20:31:33",No,No,No,No,Yes,Yes,No,Vocational,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat","Undergrad superior",Technology
No,No,45-55,"06-15 years",No,No,Female,"No, I did use it before, and use it now","8/02/2021 20:59:39",No,Yes,No,No,No,No,Yes,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",No
Yes,No,"> 55","> 25 years",No,No,Female,"No, I did use it before, and use it now","8/02/2021 21:04:12",No,No,No,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat, A chat with all students and teachers in the same semester/year","Undergrad superior","Social Sciences"
Yes,No,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 21:08:52",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
No,No,45-55,"16-25 years",No,Yes,Female,"No, I did use it before, and use it now","8/02/2021 21:11:09",No,No,No,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Technology
No,No,35-45,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","8/02/2021 21:11:27",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Technology
Yes,No,35-45,"16-25 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","8/02/2021 21:21:29",No,Yes,Yes,No,Yes,Yes,No,Vocational,"A chat with my students in the same course","Undergrad medio, Undergrad superior",Technology
No,No,No,No,No,No,No,No,"8/02/2021 21:21:40",No,No,No,No,No,No,No,Vocational,No,No,No
No,Yes,45-55,"16-25 years",No,No,Female,"No, I did use it before, and use it now","8/02/2021 21:23:52",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
No,No,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","8/02/2021 21:24:12",No,No,No,Yes,No,Yes,Yes,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Technology
Yes,Yes,35-45,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 21:24:23",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad superior",Technology
No,No,35-45,"16-25 years",No,No,Male,"Yes, I use a safer messaging app now","8/02/2021 21:25:52",No,Yes,No,No,No,Yes,Yes,Vocational,"A chat with my students in the same course","Undergrad medio",Technology
No,No,35-45,"06-15 years",Yes,Yes,Female,"No, I did use it before, and use it now","8/02/2021 21:26:37",No,Yes,No,No,No,No,No,Vocational,"A chat with my students in the same course, A chat with all the students and teachers in the same studies (all years)","Undergrad medio",Technology
Yes,Yes,45-55,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","8/02/2021 21:27:50",No,No,Yes,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
Yes,Yes,45-55,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","8/02/2021 21:31:32",No,No,Yes,No,No,No,No,Vocational,"A chat with all students and teachers in the same semester/year","Undergrad medio",Technology
Yes,Yes,"> 55","> 25 years",Yes,Yes,Female,"No, I did use it before, and use it now","8/02/2021 21:36:42",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad medio","Social Sciences"
No,No,45-55,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 21:38:21",No,No,Yes,No,Yes,Yes,No,Vocational,"A chat with all the students and teachers in the same studies (all years)","Undergrad medio",Technology
No,Yes,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 21:38:43",No,No,No,Yes,No,No,No,Vocational,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad superior, Curso de especialización",Technology
Yes,Yes,35-45,"06-15 years",Yes,No,Female,"Yes, I didn't use any messaging app before, but do use it now","8/02/2021 21:39:15",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
Yes,Yes,45-55,"06-15 years",No,Yes,Male,"No, I did use it before, and use it now","8/02/2021 21:42:31",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course, A chat with all the students and teachers in the same studies (all years), A chat with all students and teachers in the same semester/year","Undergrad medio, Undergrad superior",Technology
No,Yes,45-55,"16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","8/02/2021 21:44:34",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
No,Yes,45-55,"16-25 years",No,No,Female,"No, I did use it before, and use it now","8/02/2021 21:49:19",No,Yes,No,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
No,Yes,35-45,"0-05 years",Yes,No,Female,"Yes, I didn't use any messaging app before, but do use it now","8/02/2021 21:50:02",No,Yes,No,No,Yes,Yes,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
Yes,No,45-55,"> 25 years",Yes,No,Female,"No, I did use it before, and use it now","8/02/2021 21:51:38",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad superior",Technology
No,Yes,35-45,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 21:51:52",No,No,No,Yes,No,No,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
No,Yes,35-45,"0-05 years",No,No,Male,"No, I did use it before, and use it now","8/02/2021 21:53:50",No,No,No,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
Yes,No,45-55,"16-25 years",Yes,Yes,Female,"No, I did use it before, and use it now","8/02/2021 21:53:50",No,No,Yes,No,Yes,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Technology
No,Yes,"> 55","> 25 years",No,No,Male,"No, I did use it before, and use it now","8/02/2021 22:03:16",No,Yes,No,No,No,Yes,No,Vocational,"A chat with all students and teachers in the same semester/year","Undergrad medio",Technology
No,Yes,45-55,"> 25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 22:04:47",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad superior",Technology
No,Yes,45-55,"16-25 years",Yes,No,Female,"No, I did use it before, and use it now","8/02/2021 22:05:10",No,No,Yes,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad superior",Technology
Yes,No,"> 55","16-25 years",No,No,Female,"Yes, I use a safer messaging app now","8/02/2021 22:05:14",No,Yes,No,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",No
Yes,Yes,45-55,"16-25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 22:22:57",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad medio",Technology
No,Yes,35-45,"0-05 years",No,Yes,Male,"Yes, I use a safer messaging app now","8/02/2021 22:22:57",No,No,Yes,No,Yes,No,No,Vocational,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad medio, Undergrad superior",Sciences
Yes,No,35-45,"0-05 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 22:29:41",No,No,No,No,No,Yes,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Sciences
Yes,Yes,35-45,"16-25 years",Yes,Yes,Female,"No, I did use it before, and use it now","8/02/2021 22:51:40",No,Yes,No,No,No,No,No,Vocational,"A chat with my students in the same course, A chat with all the students and teachers in the same studies (all years)","Undergrad superior",Technology
No,No,No,No,No,No,No,No,"8/02/2021 22:52:45",No,No,No,No,No,No,No,Vocational,No,No,No
Yes,Yes,45-55,"> 25 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 23:16:23",No,No,No,No,Yes,Yes,No,Vocational,"A chat with all students and teachers in the same semester/year","Undergrad medio, Undergrad superior",Technology
No,No,35-45,"06-15 years",Yes,No,Female,"No, I did use it before, and use it now","8/02/2021 23:24:26",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio, Undergrad superior",Technology
Yes,No,45-55,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","8/02/2021 23:37:20",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad medio, Undergrad superior",Technology
No,Yes,45-55,"0-05 years",No,No,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 0:15:14",Yes,No,No,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
Yes,No,45-55,"0-05 years",Yes,No,Female,"Yes, I use a safer messaging app now","9/02/2021 6:36:45",No,No,Yes,Yes,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
No,Yes,45-55,"> 25 years",No,No,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 6:42:11",Yes,No,No,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad medio, Undergrad superior",Technology
Yes,Yes,35-45,"0-05 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","9/02/2021 8:01:08",No,Yes,No,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad medio",Technology
Yes,No,45-55,"16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","9/02/2021 8:01:36",No,No,No,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
Yes,No,"> 55","> 25 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 8:28:45",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad medio","Social Sciences"
No,Yes,45-55,"> 25 years",No,No,Male,"Yes, I use a safer messaging app now","9/02/2021 8:28:49",No,No,Yes,No,No,No,No,Vocational,"I'd rather leave students self-organize and not be part of the chat","Undergrad superior, CETIC",Technology
Yes,No,45-55,"> 25 years",Yes,No,Male,"No, I did use it before, and use it now","9/02/2021 8:49:14",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad medio, Undergrad superior",Technology
Yes,Yes,35-45,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 9:41:04",No,No,No,Yes,Yes,No,No,Vocational,"A chat with my students in the same course, A chat with all the students and teachers in the same studies (all years), A chat with all students and teachers in the same semester/year","Undergrad superior",Technology
No,No,45-55,"16-25 years",Yes,Yes,Female,"Yes, I use a safer messaging app now","9/02/2021 9:44:12",No,No,Yes,No,No,Yes,No,Vocational,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad superior",Technology
Yes,Yes,35-45,"06-15 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 9:44:51",No,Yes,No,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad medio, Undergrad superior",Technology
No,Yes,35-45,"0-05 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 9:48:27",No,No,No,No,No,Yes,No,Vocational,"A chat with my students in the same course","Undergrad superior",Technology
Yes,Yes,35-45,"16-25 years",Yes,No,Female,"No, I did use it before, and use it now","9/02/2021 9:50:33",No,No,Yes,No,No,No,No,Vocational,"A chat with my students in the same course","Undergrad medio",Technology
Yes,No,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 9:50:57",No,No,No,No,No,Yes,No,Vocational,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad medio, Undergrad superior",Technology
