AgendaBot,ClassMaterialBot,Age,Experience,FAQBot,GradesBot,Gender,"PostCOVID changes","Marca temporal",MessagingPlatformNone,MessagingPlatformOther,MessagingPlatformProvided,MessagingPlatformSlack,MessagingPlatformTelegram,MessagingPlatformWhatsApp,OtherBot,Sector,"Messaging Organization",Degrees,Discipline
Yes,Yes,35-45,"0-05 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 10:12:33",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,Yes,45-55,"16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","9/02/2021 12:03:26",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
Yes,No,45-55,"> 25 years",Yes,No,Male,"No, I did use it before, and use it now","9/02/2021 14:59:25",No,Yes,Yes,No,No,No,No,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School, A chat with all students and teachers in the same semester/year",Undergrad,Engineering
No,No,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 15:06:12",No,Yes,No,No,No,No,Yes,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,35-45,"06-15 years",Yes,No,Male,"No, I didn't use it before, and don't use it now","9/02/2021 15:09:03",Yes,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,45-55,"06-15 years",No,No,Male,"Yes, I use a safer messaging app now","9/02/2021 15:13:43",No,Yes,Yes,No,No,No,Yes,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School",Undergrad,Engineering
No,No,25-35,"06-15 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 15:13:57",No,Yes,No,No,No,No,Yes,University,"A chat with my students in the same course","Undergrad, Master, PhD, Non-official degree",Engineering
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 15:15:33",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,45-55,"16-25 years",No,No,Male,"No, I didn't use it before, and don't use it now","9/02/2021 15:43:18",Yes,No,No,No,No,No,Yes,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,No,35-45,"06-15 years",Yes,No,Male,"No, I did use it before, and use it now","9/02/2021 16:06:33",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
Yes,No,45-55,"16-25 years",Yes,Yes,Male,"Yes, I use a safer messaging app now","9/02/2021 16:28:27",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, PhD",Engineering
Yes,No,25-35,"06-15 years",No,No,Female,"No, I didn't use it before, and don't use it now","9/02/2021 16:32:35",Yes,No,No,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, Non-official degree",Engineering
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","9/02/2021 17:38:40",No,No,No,No,No,Yes,No,University,"A chat with all the students and teachers in my Faculty/School",Undergrad,Engineering
Yes,No,25-35,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","9/02/2021 18:19:45",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,Engineering
No,No,45-55,"06-15 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 18:53:17",No,Yes,No,No,No,No,Yes,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,Yes,25-35,"06-15 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 19:14:35",Yes,No,No,No,No,No,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,Sciences
Yes,No,25-35,"0-05 years",Yes,Yes,Female,"Yes, I use a safer messaging app now","9/02/2021 19:19:42",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School",Master,Engineering
No,Yes,45-55,"16-25 years",No,No,Male,"No, I did use it before, and use it now","9/02/2021 20:01:36",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course",Master,Engineering
Yes,No,45-55,"0-05 years",No,Yes,Male,"No, I did use it before, and use it now","9/02/2021 20:16:10",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,Yes,35-45,"16-25 years",Yes,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 20:16:43",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",PhD,Engineering
Yes,No,35-45,"06-15 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 20:27:14",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year",Undergrad,Engineering
Yes,Yes,25-35,"06-15 years",Yes,No,Male,"Antes solía emplear el foro de Moodle y ahora también uso Teams ","9/02/2021 20:27:23",No,Yes,No,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,No,45-55,"0-05 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 20:50:35",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,"Social Sciences"
No,No,45-55,"16-25 years",No,Yes,Female,"No, I did use it before, and use it now","9/02/2021 20:51:13",No,Yes,No,No,Yes,No,No,University,"A chat with my students in the same course, A chat with all the students and teachers in my Faculty/School","Undergrad, Master, Non-official degree",Engineering
Yes,Yes,35-45,"16-25 years",No,No,Female,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 20:51:30",Yes,No,No,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Master,Sciences
Yes,Yes,25-35,"06-15 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 21:04:34",No,Yes,No,No,No,No,Yes,University,"A chat with my students in the same course",Undergrad,Engineering
No,Yes,25-35,"0-05 years",No,No,Female,"No, I did use it before, and use it now","9/02/2021 21:15:44",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,Engineering
No,Yes,35-45,"16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","9/02/2021 22:00:50",No,Yes,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,35-45,"0-05 years",No,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","9/02/2021 22:15:38",No,No,No,No,No,Yes,No,University,"A chat with my students in the same course",Undergrad,Engineering
Yes,No,35-45,"06-15 years",Yes,Yes,Female,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 6:10:32",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master, PhD","Social Sciences"
Yes,Yes,45-55,"> 25 years",Yes,No,Male,"No, I didn't use it before, and don't use it now","10/02/2021 9:06:54",Yes,No,No,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master, PhD, Non-official degree","Social Sciences"
Yes,No,45-55,"16-25 years",No,Yes,Male,"No, I did use it before, and use it now","10/02/2021 9:14:01",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, Non-official degree","Social Sciences"
No,No,45-55,"> 25 years",Yes,No,Female,"No, I did use it before, and use it now","10/02/2021 11:09:13",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Sciences
Yes,No,35-45,"16-25 years",No,Yes,Male,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 11:14:52",No,No,Yes,No,Yes,Yes,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
No,No,25-35,"0-05 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 11:15:11",No,No,Yes,No,Yes,Yes,Yes,University,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,No,25-35,"0-05 years",No,Yes,Male,"Yes, I use a safer messaging app now","10/02/2021 11:20:58",No,Yes,Yes,No,Yes,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
No,No,45-55,"16-25 years",No,No,Female,"No, I did use it before, and use it now","10/02/2021 11:21:07",No,No,Yes,No,No,No,Yes,University,"A chat with my students in the same course","Undergrad, Master",Engineering
No,No,45-55,"> 25 years",Yes,No,Male,"Yes, I use a safer messaging app now","10/02/2021 11:22:26",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
No,No,35-45,"06-15 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","10/02/2021 11:25:19",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Engineering
Yes,Yes,35-45,"0-05 years",Yes,Yes,Male,"No, I didn't use it before, and don't use it now","10/02/2021 11:27:17",No,No,No,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,Yes,35-45,"06-15 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 11:36:06",No,No,Yes,No,No,No,No,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master, PhD, Non-official degree",Engineering
Yes,No,25-35,"0-05 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 11:43:14",No,No,No,Yes,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Engineering
Yes,Yes,35-45,"06-15 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 11:44:40",No,No,Yes,No,No,No,No,University,"A chat with my students in the same course","Undergrad, Master",Engineering
No,No,"> 55","> 25 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 11:44:41",No,No,Yes,No,No,No,Yes,University,"A chat with all students and teachers in the same semester/year","Undergrad, Master",Engineering
No,No,35-45,"0-05 years",Yes,No,Male,"No, I didn't use it before, and don't use it now","10/02/2021 11:48:14",No,No,Yes,No,No,Yes,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
No,No,"> 55","> 25 years",No,No,Male,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 11:56:59",No,No,Yes,No,No,Yes,Yes,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,"Social Sciences"
Yes,No,35-45,"16-25 years",Yes,Yes,Male,"No, I did use it before, and use it now","10/02/2021 12:58:48",No,No,Yes,No,Yes,No,No,University,"A chat with my students in the same course, I'd rather leave students self-organize and not be part of the chat","Undergrad, Master, PhD",Engineering
Yes,No,45-55,"> 25 years",No,Yes,Male,"No, I didn't use it before, and don't use it now","10/02/2021 13:27:00",Yes,No,No,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat",Undergrad,Humanities
No,No,45-55,"06-15 years",No,Yes,Male,"No, I did use it before, and use it now","10/02/2021 13:35:21",No,No,Yes,No,No,No,No,University,"I'd rather leave students self-organize and not be part of the chat","Undergrad, Master",Engineering
Yes,No,35-45,"06-15 years",Yes,No,Male,"Yes, I didn't use any messaging app before, but do use it now","10/02/2021 13:45:32",No,No,No,No,Yes,No,No,University,"A chat with my students in the same course",Undergrad,Engineering
No,Yes,35-45,"16-25 years",No,No,Male,"No, I did use it before, and use it now","10/02/2021 13:48:05",No,No,No,No,Yes,No,No,University,"A chat with my students in the same course","Undergrad, Master, Non-official degree",Engineering
Yes,Yes,45-55,"16-25 years",Yes,Yes,Male,"Antes las usabas, pero ahora con mayor frecuencia.","10/02/2021 14:17:45",No,No,Yes,No,Yes,Yes,Yes,University,"A chat with my students in the same course, A chat with all students and teachers in the same semester/year","Undergrad, Master",Sciences
